ch	Latitude	Longitude	LatbyLong	Dist_250m	Ag_250m	LC_250m	Edge_250m	HDens_250m	Dist_5km	Ag_5km	LC_5km	Edge_5km	HDens_5km	Nearest_neighbor	Management_duration	Cam_distance	Park_ID	Hunting	People_site	People2	PeoplexHunting	PeoplexDistance	People2xHunting	People2xDistance	HuntingxDistance	Week	Year	Cam_distance	NVDI_site	Det_dist	WeekDay1	WeekDay2	WeekDay3	WeekDay4	WeekDay5	WeekDay6	WeekDay7	WeekDay8	WeekDay9	WeekDay10	WeekDay11	WeekDay12	WeekDay13	WeekDay14	WeekDay15	WeekDay16	WeekDay17	WeekDay18	WeekDay19	WeekDay20	WeekDay21	WeekDay22	WeekDay23	WeekDay24	WeekDay25	WeekDay26	WeekDay27	WeekDay28	WeekDay29	WeekDay30	WeekDay31	WeekDay32	WeekDay33	WeekDay34	WeekDay35	WeekDay36	WeekDay37	WeekDay38	WeekDay39	WeekDay40	WeekDay41	WeekDay42	WeekDay43	WeekDay44	WeekDay45	WeekDay46	WeekDay47	WeekDay48	WeekDay49	WeekDay50	WeekDay51	WeekDay52	WeekDay53	WeekDay54	WeekDay55	WeekDay56	WeekDay57	WeekDay58	WeekDay59	WeekDay60	WeekDay61	WeekDay62	WeekDay63	WeekDay64	WeekDay65	WeekDay66	WeekDay67	WeekDay68	WeekDay69	WeekDay70	WeekDay71	WeekDay72	Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	Temp8	Temp9	Temp10	Temp11	Temp12	Temp13	Temp14	Temp15	Temp16	Temp17	Temp18	Temp19	Temp20	Temp21	Temp22	Temp23	Temp24	Temp25	Temp26	Temp27	Temp28	Temp29	Temp30	Temp31	Temp32	Temp33	Temp34	Temp35	Temp36	Temp37	Temp38	Temp39	Temp40	Temp41	Temp42	Temp43	Temp44	Temp45	Temp46	Temp47	Temp48	Temp49	Temp50	Temp51	Temp52	Temp53	Temp54	Temp55	Temp56	Temp57	Temp58	Temp59	Temp60	Temp61	Temp62	Temp63	Temp64	Temp65	Temp66	Temp67	Temp68	Temp69	Temp70	Temp71	Temp72	Cloud1	Cloud2	Cloud3	Cloud4	Cloud5	Cloud6	Cloud7	Cloud8	Cloud9	Cloud10	Cloud11	Cloud12	Cloud13	Cloud14	Cloud15	Cloud16	Cloud17	Cloud18	Cloud19	Cloud20	Cloud21	Cloud22	Cloud23	Cloud24	Cloud25	Cloud26	Cloud27	Cloud28	Cloud29	Cloud30	Cloud31	Cloud32	Cloud33	Cloud34	Cloud35	Cloud36	Cloud37	Cloud38	Cloud39	Cloud40	Cloud41	Cloud42	Cloud43	Cloud44	Cloud45	Cloud46	Cloud47	Cloud48	Cloud49	Cloud50	Cloud51	Cloud52	Cloud53	Cloud54	Cloud55	Cloud56	Cloud57	Cloud58	Cloud59	Cloud60	Cloud61	Cloud62	Cloud63	Cloud64	Cloud65	Cloud66	Cloud67	Cloud68	Cloud69	Cloud70	Cloud71	Cloud72	Precip1	Precip2	Precip3	Precip4	Precip5	Precip6	Precip7	Precip8	Precip9	Precip10	Precip11	Precip12	Precip13	Precip14	Precip15	Precip16	Precip17	Precip18	Precip19	Precip20	Precip21	Precip22	Precip23	Precip24	Precip25	Precip26	Precip27	Precip28	Precip29	Precip30	Precip31	Precip32	Precip33	Precip34	Precip35	Precip36	Precip37	Precip38	Precip39	Precip40	Precip41	Precip42	Precip43	Precip44	Precip45	Precip46	Precip47	Precip48	Precip49	Precip50	Precip51	Precip52	Precip53	Precip54	Precip55	Precip56	Precip57	Precip58	Precip59	Precip60	Precip61	Precip62	Precip63	Precip64	Precip65	Precip66	Precip67	Precip68	Precip69	Precip70	Precip71	Precip72
0000000000000000000000..................................................	0.3899441	-0.7723958	-0.301191185	0	0	0.96	0.03	0.138430154	0.04	0.02	0.14	0.36	9.345258331	1.146753959	0	0	1	0	0.857	0.734449	0	0	0	0	0	0.39	2	0	0.825864471	1.6	0.36	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.39	0.39	0.39	0.39	0.39	0.39	0.39	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.296984897104545	0.295289130008333	0.2997664291125	0.299671496345833	0.296910710066667	0.292201313970833	0.287765142295833	0.291969062558333	0.290333377008333	0.286465756375	0.288344195491667	0.291238628691667	0.293240328866667	0.29220045645	0.289958589866667	0.286218404720833	0.2870957430875	0.289179429925	0.29013436455	0.290090266633333	0.2888803062	0.29096720932	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5.96992550040909E-02	6.95206785670833E-02	3.05339614614167E-02	3.88146960696667E-02	7.87688708729167E-02	1.78244116107917E-02	3.56545927991667E-03	6.46190327770833E-02	3.56306898577083E-02	0.000059068823125	1.27857138406667E-02	2.46776069445833E-03	2.59497957354167E-03	6.05090171562917E-02	9.70449243783333E-03	5.90866395833333E-06	1.10573699836667E-02	5.07587917833333E-02	1.56015751404167E-02	3.44019023508333E-02	1.24752995792917E-02	0.0037344223017	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2.21145454545455E-07	-8.04458333333333E-07	1.07408333333333E-06	7.33776666666667E-06	5.98361666666667E-05	-0.0000003494625	-6.37166666666667E-07	-0.0000000005625	-0.0000001365	-0.0000002865	-6.07916666666667E-08	-1.33995833333333E-07	-1.85721666666667E-07	1.30379808333333E-04	0	0	-8.61333333333333E-07	0	0	0	-2.58166666666667E-07	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
00000000000000000000....................................................	0.3899374	-0.7724059	-0.301189948	0	0	1	0	0	0.04	0.02	0.14	0.36	9.447642517	1.035499195	0	2	1	0	0	0	0	0	0	0	0	0.42	2	2	0.761365939	1.5	0.39	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.42	0.42	0.42	0.42	0.42	0.42	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.288348197922727	0.2908531170625	0.293078606545833	0.294289985204167	0.294674900345833	0.2964339683875	0.296545611616667	0.297580835945833	0.2877589819	0.287737850533333	0.286386978191667	0.287417239029167	0.2900221970875	0.2900056917875	0.2881615578	0.287472451595833	0.289540852633333	0.291350303733333	0.290134613470833	0.285299264479167	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0101801383595	2.48617301052083E-02	4.86581309045833E-02	4.15826533208333E-02	0.0647238807425	3.91249658245833E-02	4.71924431308333E-02	0.03780784057375	5.29865745591667E-02	0.09030922399875	8.32612914095833E-02	0.0931296555875	0.071901112665	3.45211999591667E-02	4.78727436966667E-02	0.013943095653125	3.62087850155417E-02	0.040353841835	0.04803844478675	1.97614699609583E-02	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	-3.29318181818182E-07	-3.77083333333333E-08	0	-5.44416666666666E-08	0.00000323725	4.69166666666667E-06	0.00000198725	8.34674166666667E-05	0.0000243125	-0.000000038775	1.17539475833333E-04	0.0000818625	4.87570833333333E-05	2.48495541666667E-05	0.0000019937475	-3.76666666666667E-07	1.12108333333333E-05	1.61333333333333E-07	0.0000037425	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
00000000000000..........................................................	0.3899251	-0.7723773	-0.301169296	0	0	1	0	0	0.03	0.02	0.14	0.36	9.435542297	0.656864013	0	0	1	0	0.629	0.395641	0	0	0	0	0	0.34	2	0	0.857840079	1.8	0.32	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.34	0.34	0.34	0.34	0.34	0.34	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.29889255705	0.299460954045833	0.297026234966667	0.292078951195833	0.2923959831625	0.293184918666667	0.29514356845	0.292029323854167	0.294283520695833	0.297116705629167	0.298309716654167	0.2983103089125	0.2934952469125	0.296987604577778	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	6.05657923009091E-02	0.06148466290625	5.88111048545833E-02	0.0015566203385	2.15670187668333E-02	0.0158717426175	6.43222785933333E-02	7.84538661083333E-02	5.48204348083333E-02	3.27226618754167E-02	0.09662141980375	3.90572997204167E-02	4.36707942982083E-02	0.003913665238	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1.13953636363636E-05	0.0000716939375	2.19512916666667E-05	-3.41308333333333E-07	-0.0000004729	0	3.31527183333333E-06	6.48404683333333E-06	3.65833333333333E-06	0	0.00002576875	1.10754166666667E-05	1.25004166666667E-05	-4.36222222222222E-11	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
000000000000000000......................................................	0.3899244	-0.7723849	-0.301171719	0	0	1	0	0	0.03	0.02	0.14	0.36	9.476901245	0.612956499	0	0.5	1	0	0.002	0.000004	0	0.001	0	0.000002	0	0.35	2	0.5	0.849580463	0.8	0.32	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.35	0.35	0.35	0.35	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.298817606104546	0.2994545731	0.2967679300375	0.29206087525	0.292414151779167	0.29320504365	0.295129214845833	0.2920707544375	0.294379299716667	0.297188772066667	0.298326194179167	0.2982720462625	0.293370407125	0.294222358433333	0.294361781783333	0.298014091045833	0.298970993791667	0.297012303013043	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	6.06704856381818E-02	0.06375864625125	0.05520539698375	1.39817340633333E-03	2.14892809817083E-02	1.76189184134167E-02	6.63273259929167E-02	7.66771651604167E-02	0.05359493307875	3.56856360016667E-02	9.62937371091667E-02	0.03714639703875	4.23199208884167E-02	0.006408406076375	5.96366359916667E-02	2.43766590885833E-02	6.20774037695833E-02	7.36240809852174E-02	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1.08912727272727E-05	7.39623041666666E-05	1.96867083333333E-05	-2.98433333333333E-07	-4.54941666666667E-07	-8.04166666666667E-10	0.0000049285765	4.87285566666667E-06	0.00000366	0	2.62104166666667E-05	0.00001191875	0.00001128541485	-1.45416666666667E-11	0.00000067375	-1.51916666666667E-07	6.52820833333333E-06	1.11245452173913E-04	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
000000000000000000000...................................................	0.389925	-0.772392	-0.301174951	0	0	1	0	0	0.03	0.02	0.14	0.36	9.499196625	0.612956499	0	2	1	0	0.002	0.000004	0	0.004	0	0.000008	0	0.35	2	2	0.842136808	1.1	0.32	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.35	0.35	0.35	0.35	0.35	0.35	0.35	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.298817738004546	0.299454486158333	0.2967670367625	0.292060195579167	0.292413669670833	0.2932045071125	0.295128856033333	0.292070060283333	0.294378836725	0.297188202395833	0.298325574591667	0.29827176185	0.293369382175	0.294222058933333	0.294361792029167	0.2980139793125	0.298970594475	0.2969900876625	0.296897328004167	0.2981165532625	0.299162397079167	0.29921808785	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	6.06686867790909E-02	6.37575598679167E-02	0.055201327345	0.001397514083125	2.14882076499583E-02	1.76187121219583E-02	6.63323237295833E-02	7.66796422045833E-02	5.35962166058333E-02	3.56875798533333E-02	9.62917271816666E-02	3.71554575083333E-02	4.23204971892917E-02	0.006409349491125	5.96381281604167E-02	2.43772057154167E-02	0.0620790139125	7.18179729116667E-02	1.80290742846667E-02	5.79653993970833E-02	7.93099053504167E-02	0.08387163246	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1.08912727272727E-05	0.0000740882125	1.96994583333333E-05	-2.98433333333333E-07	-4.54941666666667E-07	-8.04166666666667E-10	0.0000049285665	4.87352066666667E-06	3.67333333333333E-06	0	0.000026225	1.19166666666667E-05	0.00001130791485	-1.45416666666667E-11	0.00000067375	-1.51916666666667E-07	6.53654166666667E-06	1.07013566666667E-04	0.000000104225	3.07458333333333E-07	0.0000475160775	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
000000000000000000000...................................................	0.3899111	-0.7723954	-0.30116554	0	0	1	0	0	0.03	0.02	0.14	0.36	9.647172546	0.635510161	0	0	1	0	0.387	0.149769	0	0	0	0	0	0.38	2	0	0.805080931	1.2	0.35	0.36	0.36	0.36	0.36	0.36	0.36	0.36	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.38	0.38	0.38	0.38	0.38	0.38	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.299162552681818	0.298877164145833	0.2959051750875	0.294381330083333	0.294540336308333	0.290848386945833	0.294364350870833	0.296509587791667	0.295689603120833	0.299883075279167	0.299603478958333	0.296615119204167	0.2917043067375	0.287657439929167	0.292381282479167	0.289895182716667	0.286326468375	0.288606376070833	0.291408540795833	0.293465811795833	0.29476238658	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	9.28190726481818E-02	8.19568816816667E-02	0.01819173793375	5.26102239458333E-04	0.022828359543875	0.0144442841595	2.96645962420833E-02	6.21615858045833E-02	6.67325186391667E-02	2.64345824161667E-02	4.37905836379167E-02	0.07761749716125	1.35112513780833E-02	0.00476002678975	7.00698368654167E-02	2.87852904112083E-02	1.83426746541667E-04	1.28108052283333E-02	2.43370450433333E-03	3.11741631141667E-03	0.023304118982	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	7.52988181818182E-05	0.000002107125	-0.000000034875	0	-0.0000000171375	-0.0000000021375	0	2.02716666666667E-07	-8.49041666666667E-07	1.11283333333333E-06	1.43127666666667E-05	5.26183333333333E-05	-0.0000006899625	-0.0000002555	-1.57291666666667E-08	-0.000000153125	-2.54708333333333E-07	-1.62166666666667E-07	9.86291666666667E-08	-3.57596666666667E-07	0.000010292	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
000000000000000000000...................................................	0.3899166	-0.7723972	-0.30117049	0	0	1	0	0	0.03	0.02	0.14	0.36	9.598065948	0.310860396	0	0.5	1	0	0.003	0.000009	0	0.0015	0	0.0000045	0	0.38	2	0.5	0.805991791	1.5	0.35	0.36	0.36	0.36	0.36	0.36	0.36	0.36	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.38	0.38	0.38	0.38	0.38	0.38	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.299161776745455	0.298876437270833	0.295904276516667	0.2943807473375	0.2945392092125	0.290847550845833	0.294364273133333	0.296508521854167	0.295688972429167	0.299883005483333	0.299602774375	0.296614412408333	0.291703453333333	0.287656904725	0.292380896183333	0.289894428304167	0.2863261017125	0.288606238175	0.291408309991667	0.293465970075	0.294961463216667	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	9.28235718827272E-02	8.19535591841667E-02	1.81845415130417E-02	5.26410136666667E-04	2.28299464658333E-02	0.014437183842125	2.96717748418333E-02	6.21675856366666E-02	6.67416206220833E-02	2.64376962710417E-02	0.04379740690125	7.76161034620833E-02	0.013505925205375	0.004761275317	7.00813365754167E-02	2.87814374697083E-02	1.83366006458333E-04	0.01280784969375	2.43254765308333E-03	3.11588817691667E-03	2.65379933283333E-02	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	7.54935454545455E-05	0.0000021035	-0.000000036625	0	-0.0000000171375	-0.0000000021375	0	2.02716666666667E-07	-8.49041666666667E-07	0.0000011145	1.43294333333333E-05	5.26441666666667E-05	-0.0000006899625	-0.0000002555	-1.57291666666667E-08	-0.000000153125	-2.54708333333333E-07	-1.62166666666667E-07	9.86291666666667E-08	-3.57596666666667E-07	4.57616666666667E-05	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
000000000000000000000...................................................	0.3899179	-0.7724004	-0.301172742	0	0	1	0	0	0.03	0.02	0.14	0.36	9.60782547	0.310860396	0	2	1	0	0	0	0	0	0	0	0	0.38	2	2	0.803346034	0.8	0.35	0.36	0.36	0.36	0.36	0.36	0.36	0.36	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.38	0.38	0.38	0.38	0.38	0.38	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.299161315127273	0.298876198329167	0.295903829883333	0.294380348541667	0.294538767766667	0.290847228016667	0.294364074704167	0.296508225445833	0.295688757	0.2998829095	0.299602150658333	0.296613975191667	0.291702926808333	0.287656586958333	0.292380666641667	0.289894047466667	0.286325914083333	0.288606170679167	0.291408324425	0.293466204429167	0.294961032216667	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	9.28252647636363E-02	8.19491624404167E-02	0.018180186302625	5.26743317041667E-04	2.28301685446667E-02	1.44345396517083E-02	0.029673955087875	6.21696351533333E-02	6.67439659154167E-02	2.64395592978333E-02	4.38031694108333E-02	7.76153013845833E-02	1.35041574852083E-02	4.76218800795833E-03	7.00842583808333E-02	0.02878056700625	1.83473391083333E-04	1.28095305522917E-02	2.43347879429167E-03	3.11705696216667E-03	2.65463658516667E-02	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.000075548	2.10170833333333E-06	-3.66666666666667E-08	0	-0.0000000171375	-0.0000000021375	0	2.02716666666667E-07	-8.49041666666667E-07	0.00000111575	1.43377666666667E-05	5.26391666666667E-05	-0.0000006899625	-0.0000002555	-1.57291666666667E-08	-0.000000153125	-2.54708333333333E-07	-1.62166666666667E-07	9.86291666666667E-08	-3.57596666666667E-07	4.57633333333333E-05	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
0000000000000000000000000000000.........................................	0.3899058	-0.7724046	-0.301165033	0	0	0.98	0.01	0	0.03	0.02	0.14	0.36	9.748790741	0.466539005	0	0	1	0	0.443	0.196249	0	0	0	0	0	0.43	2	0	0.744043343	2	0.38	0.38	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.43	0.43	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.291233709568182	0.289157630095833	0.28605950275	0.287464066545833	0.289567394216667	0.290179168675	0.290056944879167	0.288552707583333	0.288865805995833	0.290985946720833	0.293165137395833	0.2942543206	0.294766552083333	0.296464249504167	0.296544573704167	0.297228790416667	0.287668071445833	0.287685119175	0.286262164820833	0.2875507044875	0.290105985691667	0.289937050033333	0.288213540675	0.287528983120833	0.289558956004167	0.291446735133333	0.289948875845833	0.2852502302	0.2861299945	0.2830040967125	0.286367887377273	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	6.64935566781818E-02	0.002081044062	0.000401212281875	2.54749555375417E-02	3.99351570108333E-02	1.58573028154167E-02	3.27068360070417E-02	1.04444688469167E-02	9.87893075016667E-03	0.0265004454365	0.04871406389	4.33593627841667E-02	6.23063694233333E-02	0.03951719621125	4.66796574379167E-02	3.92891496891667E-02	5.36525036254167E-02	0.08947623347125	0.08444863591375	9.34316947979167E-02	6.96014631779167E-02	0.03504002683125	4.59592370860833E-02	1.40273131519167E-02	0.037353495071625	4.17235617683333E-02	0.045038132352625	0.021912107374125	3.99712136833333E-02	0	1.57619866437727E-02	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1.29383622727273E-04	0	-1.23166666666667E-07	-7.38166666666667E-07	0	0	-8.61666666666667E-08	-0.000000172	-3.39583333333333E-07	0	0	1.75141666666667E-07	4.34308333333333E-06	0.00000335	1.93258333333333E-06	9.55779166666667E-05	1.24166666666667E-05	-0.00000003095	1.22425420833333E-04	0.0000831875	4.33508333333333E-05	2.50825291666667E-05	1.40620583333333E-06	-0.0000002825	1.11779166666667E-05	4.58808333333333E-07	0.00000353625	0	0.000003663	-7.82666666666667E-07	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
0000000000000000000000000000000.........................................	0.3899097	-0.7724065	-0.301168787	0	0	0.96	0.03	0	0.03	0.02	0.14	0.36	9.715358734	0.466539005	0	0.5	1	0	0	0	0	0	0	0	0	0.43	2	0.5	0.743094532	1.4	0.38	0.38	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.43	0.43	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.291232973472727	0.2891569851625	0.286059101691667	0.287463571095833	0.289566843754167	0.290178994533333	0.290056697433333	0.288552120575	0.288865696395833	0.2909859318625	0.293165041941667	0.294254291308333	0.294766324954167	0.296464208920833	0.296544353583333	0.297228648945833	0.287667402875	0.287684533266667	0.286261745075	0.28754998805	0.290105416141667	0.289936519933333	0.288212971691667	0.287528715633333	0.289558329829167	0.291446427075	0.28994812235	0.285249278216667	0.2861294729375	0.283003865845833	0.286367774977273	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	6.64910001772727E-02	0.0020781418115	0.00040132685425	2.54768560917917E-02	3.99366668266667E-02	1.58573480645833E-02	3.27035322275417E-02	0.0104412317625	9.87868954554167E-03	0.026506389744375	0.048712572375	4.33606168691667E-02	6.23108934733333E-02	3.95218217308333E-02	0.0466829119525	3.92906687854167E-02	5.36421609516667E-02	0.08947243245125	8.44427919683333E-02	9.34313205220833E-02	6.96003086204167E-02	3.50370865566667E-02	0.045959902407	0.01403008629775	0.037358935847625	4.17247418020833E-02	0.045038840791625	2.19069197829583E-02	3.99706112906667E-02	0	1.57537999640455E-02	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0001293782	0	-1.23166666666667E-07	-7.38166666666667E-07	0	0	-8.61666666666667E-08	-0.000000172	-3.39583333333333E-07	0	0	1.75141666666667E-07	4.34766666666667E-06	0.00000335	1.93841666666667E-06	0.00009549375	1.24208333333333E-05	-3.22166666666667E-08	0.00012237537375	8.32166666666667E-05	0.00004334125	2.50813083333333E-05	1.40733083333333E-06	-0.0000002825	0.00001118	4.56683333333333E-07	3.52291666666667E-06	0	3.66258333333333E-06	-7.82666666666667E-07	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
