"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"1","Alamance County","Species richness",13,20.954,11.597,13.982,77.462
"2","Alamance County","Shannon diversity",6.327,6.667,0.494,6.327,7.636
"3","Alamance County","Simpson diversity",4.698,4.77,0.344,4.698,5.444
"4","Allegheny County","Species richness",6,7.875,2.884,6.216,22.249
"5","Allegheny County","Shannon diversity",5.451,7.971,2.952,5.451,13.757
"6","Allegheny County","Simpson diversity",5,7.667,2.115,5,11.812
"7","Anson County","Species richness",4,5.714,3.245,4.153,23.247
"8","Anson County","Shannon diversity",3.364,4.732,1.707,3.364,8.077
"9","Anson County","Simpson diversity",2.909,3.571,1.451,2.909,6.414
"10","Ashe County","Species richness",13,14.103,1.74,13.123,22.867
"11","Ashe County","Shannon diversity",8.622,9.728,1.026,8.622,11.738
"12","Ashe County","Simpson diversity",6.294,6.798,1.044,6.294,8.844
"13","Avery County","Species richness",8,12.359,6.979,8.479,47.708
"14","Avery County","Shannon diversity",5.328,6.273,1.056,5.328,8.343
"15","Avery County","Simpson diversity",4.212,4.512,0.771,4.212,6.022
"16","Beaufort County","Species richness",6,8.045,3.117,6.239,23.518
"17","Beaufort County","Shannon diversity",4.871,6.891,1.891,4.871,10.597
"18","Beaufort County","Simpson diversity",4,5.091,1.864,4,8.744
"19","Bertie County","Species richness",7,9.045,3.117,7.239,24.518
"20","Bertie County","Shannon diversity",5.853,7.929,2.105,5.853,12.055
"21","Bertie County","Simpson diversity",5,6.455,1.653,5,9.694
"22","Bladen County","Species richness",6,18.5,11.242,8.764,62.521
"23","Bladen County","Shannon diversity",6,26.008,7.225,11.847,40.168
"24","Bladen County","Simpson diversity",6,6,6.851,6,19.427
"25","Brunswick County","Species richness",7,7.119,0.423,7.005,9.826
"26","Brunswick County","Shannon diversity",5.376,6.307,1.266,5.376,8.788
"27","Brunswick County","Simpson diversity",4.121,4.69,1.17,4.121,6.983
"28","Buncombe County","Species richness",10,10.161,0.524,10.008,13.459
"29","Buncombe County","Shannon diversity",8.355,9.361,1.021,8.355,11.362
"30","Buncombe County","Simpson diversity",7.289,8.372,1.079,7.289,10.488
"31","Burke County","Species richness",10,12.204,3.333,10.26,28.697
"32","Burke County","Shannon diversity",6.109,6.862,0.846,6.109,8.52
"33","Burke County","Simpson diversity",4.571,4.821,0.654,4.571,6.103
"34","Cabarrus County","Species richness",4,7.6,5.817,4.391,37.177
"35","Cabarrus County","Shannon diversity",3.789,8.182,4.667,3.789,17.33
"36","Cabarrus County","Simpson diversity",3.571,8.2,3.276,3.571,14.621
"37","Caldwell County","Species richness",8,11.646,4.326,8.581,30.892
"38","Caldwell County","Shannon diversity",7.537,13.3,4.93,7.537,22.962
"39","Caldwell County","Simpson diversity",7.118,16.167,3.859,8.603,23.73
"40","Camden County","Species richness",7,7,0.556,7,8.578
"41","Camden County","Shannon diversity",6.492,7.337,0.611,6.492,8.534
"42","Camden County","Simpson diversity",6.068,7.358,0.871,6.068,9.065
"43","Carteret County","Species richness",9,9.976,1.832,9.088,19.842
"44","Carteret County","Shannon diversity",6.782,7.495,0.799,6.782,9.061
"45","Carteret County","Simpson diversity",5.87,6.398,0.703,5.87,7.777
"46","Caswell County","Species richness",10,14.382,7.013,10.481,49.899
"47","Caswell County","Shannon diversity",7.084,8.324,1.357,7.084,10.983
"48","Caswell County","Simpson diversity",5.595,6.126,0.887,5.595,7.865
"49","Catawba County","Species richness",5,6.929,2.958,5.223,21.648
